"mandante","visitante"
"Fortaleza","Athletico-PR"
"Coritiba","Internacional"
"Sport Recife","Ceará"
"Botafogo","Bahia"
"Corinthians","Atlético-GO"
"Flamengo","Atlético-MG"
"Goiás","São Paulo"
"Santos","RB Bragantino"
"Grêmio","Fluminense"
"Palmeiras","Vasco"
"Atlético-MG","Athletico-PR"
"Grêmio","Goiás"
"Flamengo","Goiás"
"São Paulo","Athletico-PR"
"Vasco", "Fortaleza"
"Ceará","São Paulo"
"São Paulo","Botafogo"
"Bahia","Fortaleza"
"Grêmio", "Flamengo"
"Palmeiras","Corinthians"
"Atlético-MG","Santos"
"Bahia","Corinthians",
"Santos","Corinthians"
"São Paulo","Palmeiras"
"Coritiba", "Palmeiras"
